country,country_code,continent_code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Egypt,EGY,AF,13862,14534,13990,13989,14490,15051,15595,16248,16675,18215,19218,20107,21146,22837,25821,26774,27459,28334,31122,33598,38730,39573,42076,42083,43699,48525,50231,53305,56481,57240,59315,68846,70083,80712,89685,92199,94640,96282,94876,104974,120815,141418,155680,181920,208071,247484,298292,307760,312676,327858,338916,356590,367036,380308,399801,424141,463419,529678,631119,661270,769487,898458,915302,944215,971348,1010258,1040809,1092824
Finland,FIN,EU,23442,26394,27020,26712,29710,32151,32735,33014,33064,35609,39302,43242,44070,44430,45862,48816,50289,51740,54544,60043,64788,66026,70384,75316,78338,76220,79525,80479,84155,86233,90951,94331,94776,95955,97137,98000,104515,109541,117072,120933,122588,115160,110055,109161,113408,128297,128114,139566,150964,158631,165748,166876,165957,169135,176969,188989,192951,209585,217597,199577,206014,210941,209577,201815,201461,206622,211178,220340
France,FRA,EU,291900,307776,316244,328657,347572,366633,385280,406991,419950,431567,467831,490746,524216,557478,594798,622671,656647,689515,719227,770753,817680,865799,911440,977344,1023748,1018165,1068825,1113679,1165348,1215186,1240582,1215156,1213091,1195173,1182675,1163530,1228396,1264725,1329817,1379569,1423790,1428576,1454432,1450700,1480614,1514121,1547843,1636679,1727704,1809453,1915488,1966160,1975976,1928403,1967201,2134089,2187599,2288851,2309240,2239669,2331317,2410572,2402670,2450349,2460783,2520561,2557998,2652826
Germany,DEU,EU,319145,353262,385805,418500,455227,519978,559820,591366,610784,663107,727307,756569,784002,801580,862150,905661,930390,922322,976893,1051525,1103448,1137289,1191058,1256739,1275595,1273520,1343426,1393655,1441748,1509170,1529460,1495952,1461757,1462691,1476618,1478414,1595991,1666430,1756300,1832767,1973293,2083848,2158892,2183628,2271853,2360242,2393501,2473557,2556202,2662281,2716027,2752724,2747834,2807134,2884758,3033617,3096097,3275014,3352882,3131996,3286531,3471035,3451835,3519585,3646319,3634567,3755996,3905023
Greece,GRC,EU,,25503,24911,28419,28892,30948,33751,36402,38245,39796,40599,46305,45480,51472,55212,61266,66022,69346,73980,82525,90181,97350,107225,115215,107758,113930,121354,123466,132221,134869,137380,137472,133084,131292,134427,139607,145562,144027,154225,162080,163910,174795,177488,181550,191080,198123,204551,223302,236457,241482,253774,263348,273909,275483,288286,294477,317452,317575,327008,316975,295487,266881,253917,257607,256811,260095,257692,265214
India,IND,AS,311042,323888,333990,352074,367500,376209,393260,394978,419858,426737,463393,477825,497191,530466,569843,561005,559343,602277,628681,693589,704685,730283,747355,795784,786855,866440,855738,856745,847843,793956,810137,802466,788353,794728,795198,807024,852958,909303,986424,1057799,1128792,1150723,1223199,1306908,1400733,1509365,1647373,1748632,1880334,2015527,2110515,2216294,2343180,2569303,2767278,3157256,3558469,4009795,4278941,4607860,5363456,5888198,6309414,6590929,7031276,7491085,7995329,8599773
Indonesia,IDN,AS,,,,,,,,,,,121176,133974,130713,118555,113356,136090,113106,120783,125641,129902,139169,149745,168409,189818,207012,217872,236313,258135,278343,297663,327585,355423,361737,388455,409883,414973,424674,440556,456202,505392,574187,625587,667111,711039,764709,836394,909631,925007,748285,754765,729657,748843,762247,774239,847085,925924,1024387,1142588,1365383,1508855,1786296,2168423,2279825,2388361,2494271,2525136,2643358,2796742
Iran,IRN,AS,,,,,,47619,52018,60661,68995,77935,80717,86283,93207,97731,101587,116942,127447,142856,157639,172557,201854,227774,258126,277566,281962,269270,293602,261340,230327,203725,121547,109588,147221,143860,140541,143828,130215,143457,127192,142493,175325,206219,223411,279276,292255,306886,378016,396172,407129,451535,504232,577740,659242,739024,840939,966961,1035480,1167052,1197775,1212858,1292140,1373047,1250425,1257396,1255495,1177247,1250289,1295735
Italy,ITA,EU,191742,208943,215528,231243,241412,258260,268120,279553,291868,313000,343035,371891,392789,410686,421885,433425,457710,490956,522901,555035,631300,646435,678694,738196,790754,779519,858761,903011,956249,1044462,1117222,1098538,1081280,1068355,1082834,1093112,1167032,1226279,1280658,1333941,1393513,1435359,1462357,1460382,1508657,1581886,1613698,1680144,1756980,1807039,1853573,1850764,1826564,1835262,1845768,1922437,1993933,2087055,2134468,2052062,2074277,2135761,2112584,2071434,2066647,2093730,2194047,2255658
Japan,JPN,AS,213262,235880,259349,270576,285145,308146,329428,353090,378672,414577,468763,520715,570747,618169,688342,731082,806476,890962,1004463,1127786,1246114,1320276,1440492,1556929,1545859,1615617,1724382,1842337,1982073,2114867,2236475,2234408,2202805,2166438,2175639,2244670,2444887,2615320,2879592,3089432,3334518,3542619,3670709,3780019,3899853,4118308,4334093,4359356,4290057,4298290,4408921,4361749,4352179,4426922,4540390,4651350,4714775,4803984,4715247,4494228,4704437,4641978,4698871,4781965,4837115,4975034,5057252,5147025
Kuwait,KWT,AS,,,,,,,,,,,,,,,,,,,,,93868,96914,100913,92535,84071,74660,82374,84281,85091,99755,77993,66203,60414,61924,63489,56933,46393,54943,48168,54865,40835,24060,48204,63779,67342,68489,73648,73864,75867,71436,80156,74209,76883,96063,117639,154539,189443,204982,248556,178247,200960,250071,289325,282815,259515,178026,168077,162747
Malaysia,MYS,AS,,,,,,15526,16563,16954,16940,18137,19818,21643,23186,24746,26890,28757,30603,31480,32977,34136,37044,45317,48776,54987,60929,58957,65763,71235,76284,82926,90517,96489,102667,109052,117488,108602,100471,108391,118582,131880,149292,165863,176434,192695,208576,232582,253651,266720,227548,238949,276254,272638,289038,308279,338114,386275,394163,436145,490520,461981,503580,572386,609345,648027,666361,660228,680018,720269
Mexico,MEX,NA,126030,136434,142274,140428,155884,168825,180708,194291,203850,209259,225150,231780,240697,262726,298110,314229,333755,351571,382258,397220,422587,440553,477769,517698,551187,581188,613453,637448,696961,771021,851142,924001,914219,858631,889635,897688,843512,858641,864996,899231,960235,1004007,1048011,1170979,1230828,996871,1024826,1104468,1190950,1226752,1315893,1315631,1298916,1302131,1388683,1484991,1540645,1589988,1634452,1572957,1701947,1851006,1930823,2022327,2139495,2128037,2190014,2245200
Netherlands,NLD,EU,79058,82850,84810,91803,97279,105582,109786,113865,113410,119943,131338,134368,140282,141471,157845,164578,167629,176858,188423,204672,217349,229090,238039,254923,278292,275016,288672,292654,301066,309831,322816,313396,304698,305632,311819,304675,318519,321795,334600,349090,371398,383057,388468,401617,413309,434191,452997,484951,500716,540000,593633,601504,601765,602660,614403,698322,716554,765477,797272,730842,734117,749109,763591,809448,773348,763265,757482,793901
Nigeria,NGA,AF,84333,90813,99947,97357,106589,116172,112923,119155,130759,145397,168834,167683,172186,183574,196736,206529,189840,168657,180195,237428,256848,287995,306963,342335,381163,388799,402806,466812,472867,440527,411230,399332,412392,406503,372361,404346,126594,99809,93800,91166,97003,78857,72209,61012,55002,48950,48857,52363,49568,80345,119407,126921,154101,212319,309141,471384,505177,649606,674248,733806,822435,845682,917237,944346,971995,899668,823258,817960
Norway,NOR,EU,27776,29248,30705,32244,33097,34191,35507,37195,36935,37865,38716,40919,41677,43117,45810,48406,50146,53352,55314,57505,47249,50755,56213,57914,63199,70515,78472,80986,87516,93060,99120,99988,99025,103674,110130,111111,107471,110203,105689,109923,121633,121919,125735,127048,132050,142346,160158,169324,161173,179916,222802,225320,216917,233656,249489,309923,338175,343633,390833,329990,357952,397745,420262,415110,388875,326766,313423,321454
Pakistan,PAK,AS,44214,45057,44312,46267,46674,46028,49252,49350,49490,53332,53631,55994,59679,63802,68658,75289,82954,84570,88934,95975,105512,107676,110219,116030,120649,125140,131925,136031,145297,151656,162794,172783,181424,192928,204216,217208,223966,238598,255353,267299,273706,274584,292194,301558,305672,324374,343780,343177,357971,366704,377821,380871,397238,409949,444283,492708,545493,589174,627123,665850,711477,775924,803598,834532,876802,912042,973331,1044850
Philippines,PHL,AS,26499,27232,29783,33274,35754,38707,40159,42793,44396,48981,49061,51504,55454,58888,60195,63021,65683,67154,71489,75434,80371,85531,90655,98510,104883,114434,122145,126388,134685,137964,151617,159163,167208,168951,157815,149103,158410,174986,194034,212035,232748,237764,249376,265360,296259,327551,358083,352164,323619,315409,324633,327611,332181,340402,350421,364328,382531,412514,440411,458334,505302,552863,576338,623651,654393,694190,758661,805684
Poland,POL,EU,,,,,,,,,,,,,,,,,,,,,168783,181252,189992,198294,212557,224478,231709,238770,242294,244208,221294,208945,206735,225181,246869,266428,284332,298713,318590,333709,291993,290296,312571,339712,365481,403131,437406,466173,484757,511225,522646,524620,536328,541177,561214,590640,612783,666464,709475,734705,805022,860423,889778,891352,904145,947617,964553,1016749
Romania,ROU,EU,,,,,,,,,,,25475,28082,30756,33313,35359,38843,40931,45555,48756,52165,55631,62896,69831,77288,86223,94453,107686,116154,125233,136491,140702,138991,145527,151100,156332,163788,169984,173837,177838,170805,174277,159273,150996,155323,164475,175593,183846,173559,168176,167250,171304,185014,191352,200735,223728,233976,266853,298186,343451,335515,342899,353972,373043,374132,380951,403133,434111,479170
Russia,RUS,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2252091,2199043,2033937,1741782,1477324,1384476,1351917,1312236,1189338,1145383,1299779,1331287,1359828,1497931,1691339,1943813,2278274,2679470,3074230,2743541,3114178,3566932,3739567,3777962,3707132,3285374,3179297,3251424
Saudi Arabia,SAU,AS,,,,,,,,,,,,,,,,,,,,,135716,162226,189654,216768,294878,271257,322032,333176,328065,346264,382842,390945,332946,302742,286152,234197,248544,239575,255001,255882,277157,307517,338679,340634,325821,329405,339759,350341,320272,362512,418343,403617,435829,475951,561207,688501,802080,879701,1104730,980514,1160974,1442073,1550644,1547372,1535099,1321083,1273753,1269705
South Africa,ZAF,AF,71017,73989,68901,76218,83003,86403,91834,97338,97510,98783,103449,107849,112828,122473,131109,138780,144980,155907,160978,172601,182581,183689,188984,213634,226487,226741,226731,221885,231547,240784,266494,279772,283156,285367,293281,288431,285693,303662,312462,314804,315330,314132,307770,314477,326516,344106,361097,371031,374578,379060,398692,413136,434818,443452,468094,504010,540884,572037,583292,565434,587479,618384,625947,636409,650415,659325,656525,665931
South Korea,KOR,AS,,,,20778,21512,23120,23676,25888,26802,27282,27563,29598,29835,33389,36313,38219,43558,45970,51459,58522,63505,74512,84507,103726,123949,141788,155562,169196,185800,195169,183812,195826,210283,235650,258837,270558,321149,372676,424689,468092,529093,598171,646364,711641,802555,907640,1009265,989571,864031,959567,1034218,1062027,1143330,1186950,1260010,1350345,1396782,1478737,1478746,1442728,1565360,1590356,1589351,1612983,1670355,1740982,1794292,1848847
Spain,ESP,EU,96616,113835,119305,115049,130221,137336,147442,153821,160386,156404,174470,195132,214276,234722,246918,261039,280906,294738,315258,344828,358709,375601,406591,437320,458717,460869,482048,502602,517275,523617,543234,515957,499070,488588,480382,473920,504708,541374,580324,618642,652665,682914,699562,708780,739335,778107,806300,869561,927444,969300,1032730,1063533,1101586,1119808,1161415,1288155,1406784,1502590,1531473,1486285,1479034,1461831,1452419,1428217,1450446,1525531,1578329,1654669
Sweden,SWE,EU,64180,66140,66744,69190,72871,74954,77418,78899,80839,85522,88147,93838,97573,102686,110275,113840,115765,120212,124388,130312,139256,140779,144353,150715,154156,157015,158056,154382,158106,163084,164282,166710,168485,173113,181758,186308,199759,209075,217687,223565,226961,225867,224222,216423,230290,246614,254668,263391,274048,290109,309906,301727,302571,311593,326662,340276,355517,379360,388739,360450,379568,400586,404524,398669,397589,411178,412173,429885
Switzerland,CHE,EU,65488,71104,71172,74002,78991,84842,90938,94336,90989,97889,106023,114899,120499,126072,133439,136785,140124,144798,150197,158744,168938,175831,181609,186990,189575,172778,170953,174598,177355,183212,191792,192324,191195,192822,195504,200398,211954,216216,220456,230362,242875,240018,242270,246089,252943,257054,260132,271537,279648,289627,293960,292793,294855,300239,311768,338662,361270,399864,430612,422868,436146,477955,494949,503637,519022,522778,526522,544323
Taiwan,TWN,AS,,12327,13732,15172,16577,17842,18853,20234,21622,23540,25356,26941,29056,32057,35777,39881,43382,48311,53163,58122,64793,73353,83339,94011,96536,100696,115786,128393,146307,158832,170902,181800,189796,206995,228963,231991,269681,312288,332473,362497,401006,428641,459206,486292,508057,537373,573770,609431,637788,666357,706293,683694,708358,724554,760313,813699,822214,847874,815284,786396,860586,895288,895131,916508,967123,977948,993021,1017857
Thailand,THA,AS,21620,20907,20872,19273,21017,19470,20455,23218,23893,26476,29392,31265,33054,35355,38306,42725,49985,51319,54993,60810,81958,86171,89871,98086,102072,107235,116619,129463,142453,150448,157532,166655,172869,182190,192092,198384,201865,220147,246190,269970,299013,319006,354172,385399,420523,477704,528942,484804,409564,423461,437553,454021,490635,527403,569268,622934,657295,703447,751029,739701,839857,891845,966117,994414,983896,1006624,1028082,1086672
Turkey,TUR,AS,63893,78986,88355,98839,90400,98777,99595,121545,134572,131409,129117,131638,140056,153635,158739,162437,187364,192556,206377,216351,230788,237889,258927,273444,310485,333241,368467,360047,345605,342746,337901,376672,375389,393319,416483,439338,466071,519428,526063,521401,560461,541086,564712,619743,580337,622003,696785,737369,729878,696868,753072,734087,727087,711148,791887,878055,1003488,1092880,1164978,1130380,1296870,1469062,1558825,1667058,1823700,1996596,2031395,2201324
Ukraine,UKR,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552282,512646,469746,374890,306079,268266,258193,232865,221114,213911,212904,226191,235755,261381,288039,334123,371667,422882,456492,384863,399001,447516,463609,472382,446818,391286,399732,420628
United Arab Emirates,ARE,AS,,,,,,,,,,,,,,,,,,,,,60616,69312,64945,73624,72914,93232,112239,146618,140843,168775,264067,247751,225910,208475,210128,194064,161217,139101,154897,179422,211259,196790,205706,163644,174871,192758,204597,219074,209033,225689,276503,283097,283349,311839,336112,404897,479286,526311,577371,481391,493821,581796,641633,670902,713277,617637,607048,615713
United Kingdom,GBR,EU,468927,484020,482168,507139,526658,548517,560358,571662,573906,594064,623771,639738,647692,672907,714469,733435,749140,766771,798723,814664,835932,848599,875017,936160,905464,887649,932728,977309,1044017,1102757,1116304,1093468,1096497,1122564,1137521,1157058,1167496,1218349,1261395,1278608,1290246,1250161,1247462,1280173,1315011,1459678,1548249,1644209,1684189,1749231,1858495,1896130,1903047,1943653,1991807,2133020,2167689,2166313,2233898,2073892,2203729,2235248,2281047,2391514,2415182,2496360,2501710,2589545
United States,USA,NA,2267526,2436669,2518772,2635015,2625529,2826642,2891179,2952997,2921653,3136894,3224785,3307510,3507390,3664180,3885142,4138691,4405879,4511887,4723994,4874514,4880380,5043437,5318351,5648603,5595145,5560893,5882970,6164422,6522486,6740451,6698716,6872693,6708323,7013430,7555593,7826375,8076281,8359742,8700384,9006245,9147254,9108484,9441389,9718726,10136363,10417762,10836751,11338340,11856406,12409035,12931518,13030089,13202785,13574897,14100146,14600502,15027190,15319931,15291061,14865562,15277942,15542581,15930069,16265204,16681522,17126858,17392620,17778679
Venezuela,VEN,SA,29326,32401,37076,38119,42188,44828,48372,52855,55745,58474,54939,56814,61160,65691,73129,75985,76324,78968,88029,93153,105616,102950,106262,118373,146040,143070,151236,157249,155077,163966,162005,161998,153737,153790,156922,147946,138851,142191,146757,138528,148593,160245,166930,160076,152486,161667,160773,164596,151551,155455,188122,183197,173934,170948,219521,280985,332955,380682,450086,390524,474832,522265,537319,503164,415964,230347,232295,246116
